angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,4.571493546404425,-5.559010448678549,-2.551567301782421,134.86908420405655,-163.980331899201,-75.27473878303627
15,10.36792,-15.283914285714285,-14.056188571428569,305.84171428571426,-450.88114285714283,-414.65828571428574
30,36.871061818181815,0.7361672727272728,-91.93945454545455,1087.682909090909,21.710545454545453,-2712.220363636364
45,-32.96168096054888,55.353524871355056,82.67225557461406,-972.3567753001715,1632.9296740994855,2438.8173241852487
60,-11.232958656330752,-20.86800387596899,25.564011627906975,-331.3779069767442,-615.5930232558139,754.1414728682171
75,-3.9550504266873547,-7.555632273079907,4.370162916989914,-116.67494181536074,-222.87820015515905,128.91388673390225
90,-3.521130309575234,-0.2470914326853852,-1.2147300215982721,-103.86105111591073,-7.267818574514039,-35.82937365010799
105,-10.930602620087335,13.404157205240175,-5.92656768558952,-322.4349344978166,395.41659388646286,-174.835807860262
120,-66.11076019350381,64.2096613683483,33.62836903939184,-1950.2557014512786,1894.1748445058743,992.0359364201797
135,-100.1235773480663,-65.129841160221,96.64489640883978,-2953.640193370166,-1921.3432320441989,2851.029005524862
150,-11.408037735849058,-19.94193962264151,-4.365615094339623,-336.52830188679246,-588.2905660377359,-128.77735849056603
165,-3.637730061349693,-1.3242484662576688,-1.9521242331288342,-107.32515337423312,-39.063650306748464,-57.56058282208589
180,-3.842593905031892,4.910354358610915,1.8450106307583274,-113.37207654145996,144.830616583983,54.43231750531538
195,-9.519581777445856,15.60429424943988,14.520194174757282,-280.81702763256163,460.32860343539954,428.3577296489918
210,-31.767191568505886,-0.06185368877867328,84.90523248605082,-937.1475511469312,-1.8177309361438314,2504.6968381897086
225,29.3885625,-71.27601388888888,-72.62686111111111,866.9604166666667,-2102.6472222222224,-2142.5
240,13.549316420014094,21.924693446088796,-29.61357293868922,399.6955602536998,646.7885835095137,-873.6046511627907
255,4.080014545454546,7.673803636363636,-4.307272727272728,120.35127272727273,226.39854545454546,-127.00727272727272
270,3.7194633838383835,0.3956944444444444,1.0321401515151516,109.74684343434343,11.672348484848484,30.470328282828284
285,9.864124487004103,-12.115519835841313,4.442168262653898,291.00341997264024,-357.40082079343364,131.05198358413134
300,62.56780971937029,-66.20824777549622,-39.969219712525664,1845.7583846680357,-1953.1238877481178,-1179.088295687885
315,90.83812103746399,72.00658213256484,-105.70785014409222,2679.708357348703,2124.193659942363,-3118.4034582132563
330,11.90033068783069,21.456415343915342,3.9968320105820108,351.0701058201058,632.9550264550264,117.89880952380952
345,4.1026976744186054,2.2843056478405317,2.2850897009966777,121.01860465116279,67.36478405315614,67.37740863787376
360,4.337215946843854,-4.299966777408637,-1.5135083056478404,127.93089700996677,-126.82458471760798,-44.62126245847176
