angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,4.382527472527473,-2.9936106750392466,-2.3632810047095765,129.276295133438,-88.31083202511773,-69.69623233908948
15,8.386381172839506,-7.009012345679013,-9.189351851851852,247.38966049382717,-206.76697530864197,-271.08101851851853
30,18.65932785660941,12.398633308439134,-29.657804331590743,550.4533233756534,365.7602688573562,-874.9238237490665
45,-16.311325889741802,30.434863921842286,25.571360781577113,-481.1632937892533,897.8353105373343,754.3496161898116
60,-11.243462335867312,-8.236178299930891,17.803434692467174,-331.68762957843813,-242.94747753973738,525.1962681409814
75,-4.179399865138234,-4.85969656102495,4.1135603506405936,-123.27376938637896,-143.34996628455832,121.32366824005395
90,-3.5587668320340184,0.14039688164422398,-0.28990077958894406,-104.97306874557052,4.1304039688164425,-8.523742026931254
105,-9.75040174672489,9.639170305676856,-1.7079912663755459,-287.6593886462882,284.36943231441046,-50.41310043668122
120,-37.59030612244898,25.232927786499214,16.084073783359496,-1108.9128728414444,744.38147566719,474.4686028257457
135,-48.3549433427762,-20.28193342776204,29.63056657223796,-1426.4532577903683,-598.2946175637394,874.1232294617564
150,-10.841491108071136,-14.009274965800275,-0.01399452804377565,-319.80848153214777,-413.27428180574555,-0.39808481532147744
165,-3.7803641975308633,-1.9144938271604939,-0.9071358024691359,-111.53950617283951,-56.48518518518519,-26.732716049382717
180,-3.7352090715804387,2.8962367115520906,1.8831963146704462,-110.21190644932672,85.41672572643515,55.56413890857548
195,-8.329993224932249,7.929844173441735,11.024776422764228,-245.71544715447155,233.93970189701898,325.229674796748
210,-17.827192474674384,-9.863487698986976,34.14696816208394,-525.9189580318379,-290.98552821997106,1007.3328509406657
225,15.442056074766356,-34.400440587449935,-23.435193591455274,455.53070761014686,-1014.8104138851802,-691.3271028037383
240,12.161561604584527,8.066783667621776,-19.506196275071634,358.75429799426934,237.96848137535815,-575.4061604584527
255,4.319113067027759,4.818733920108328,-4.08073798239675,127.39201083276913,142.14218009478674,-120.36357481381178
270,3.7471848137535813,0.007127507163323783,0.07853868194842407,110.560888252149,0.21060171919770773,2.3144699140401146
285,8.6818573551263,-8.457117384843981,1.335854383358098,256.11069836552747,-249.49925705794948,39.38112927191679
300,36.85705841924399,-25.365910652920967,-19.371085910652923,1087.272852233677,-748.2927835051546,-571.4398625429553
315,46.56436726272352,23.197964236588724,-32.862847317744155,1373.6540577716644,684.353507565337,-969.4408528198074
330,10.816139630390145,14.471519507186859,-0.22946611909650924,319.06160164271046,426.9240246406571,-6.75564681724846
345,4.058837545126353,2.242924187725632,0.9703176895306859,119.73357400722021,66.14873646209386,28.63104693140794
360,4.2919627507163325,-2.6136246418338107,-1.8823853868194842,126.5881088825215,-77.1067335243553,-55.558022922636106
