angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,4.917713458755427,-4.16925470332851,-3.091519536903039,145.0506512301013,-122.97539797395079,-91.23806078147612
15,10.587228295819935,-9.681987138263665,-13.191061093247587,312.3299035369775,-285.6418006430868,-389.14983922829583
30,23.345452755905516,26.51691929133858,-43.84307086614173,688.6850393700787,782.2637795275591,-1293.390748031496
45,-26.2108,27.91367547169811,47.70452830188679,-773.2,823.4618867924528,1407.3215094339623
60,-10.068716502115654,-13.290345557122707,17.246078984485187,-297.0218617771509,-392.0726375176305,508.7919605077574
75,-3.651092564491654,-5.245781487101668,3.0428679817905917,-107.72382397572079,-154.76251896813355,89.76631259484067
90,-3.8419931856899487,0.723679727427598,-1.0594889267461671,-113.34838160136286,21.342419080068144,-31.283645655877343
105,-13.182819420783646,13.881695059625214,-2.1453066439523,-388.90630323679727,409.52555366269166,-63.253833049403745
120,-60.98981430536451,35.17480742778542,36.98414718019257,-1799.1987620357634,1037.6685006877578,1091.0226960110042
135,-57.546828919112386,-38.98120973514674,35.998432355046525,-1697.6263421617753,-1149.940586972083,1061.9448818897638
150,-8.845377906976744,-13.74669331395349,-2.5567950581395347,-260.92151162790697,-405.54651162790697,-75.43168604651163
165,-3.562924263674614,-1.1865708274894813,-1.1541514726507716,-105.09046283309958,-35.011220196353435,-34.05750350631136
180,-4.18489898989899,4.2122222222222225,2.6536279461279464,-123.43518518518519,124.24579124579125,78.29797979797979
195,-10.589915966386554,10.89546218487395,15.891229946524065,-312.41329258976316,321.3964858670741,468.8067226890756
210,-21.931271124173403,-22.506458486407052,52.1595371050698,-646.9757531227038,-663.9544452608376,1538.6767083027187
225,26.090438335809804,-31.69355869242199,-49.560884101040116,769.6575037147103,-934.9821693907875,-1462.0482912332839
240,10.783169191919193,13.695435606060606,-19.15772727272727,318.08838383838383,404.0416666666667,-565.1521464646464
255,3.8285980707395493,5.392257234726689,-3.1702379421221862,112.96012861736334,159.06752411575562,-93.51832797427653
270,3.9915716374269,-0.5140058479532165,0.8069371345029239,117.75365497076024,-15.176169590643275,23.803362573099417
285,11.437755395683455,-12.194122302158275,1.7008848920863309,337.40719424460434,-359.7071942446043,50.22446043165468
300,57.59741315594973,-35.4630303030303,-40.21441241685144,1699.1241685144123,-1046.1507760532152,-1186.310421286031
315,50.65286532951289,43.38802292263611,-36.417335243553005,1494.259312320917,1279.945558739255,-1074.3137535816618
330,9.232024720423778,14.732613301942319,2.1979635079458504,272.357268981754,434.605650382578,64.84696880517951
345,3.8692005242463954,1.405124508519004,1.1608256880733945,114.1526867627785,41.4475753604194,34.253604193971164
360,4.8895816464237525,-3.8651551956815116,-2.654655870445344,144.22672064777328,-114.03238866396761,-78.32928475033738
