angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,5.337230895645029,-2.296014790468365,4.454732949876746,157.44535743631883,-67.70665571076417,131.4379622021364
15,6.6829992107340175,-8.100047355958957,4.540236779794791,197.14917127071823,-238.9431728492502,133.94475138121547
30,0.6861887141535615,-12.80641073080481,-1.3124884366327474,20.246068455134136,-377.7826086956522,-38.714153561517115
45,-5.300636363636364,-8.017247933884297,-5.894462809917354,-156.37355371900827,-236.501652892562,-173.90578512396695
60,-4.9630229007633595,-3.119106870229008,-4.830465648854962,-146.39923664122136,-92.03206106870229,-142.48702290076335
75,-3.100664893617021,-3.338364361702128,-3.3312566489361695,-91.48404255319149,-98.47739361702128,-98.25797872340425
90,-4.279084084084084,-7.118115615615616,-4.199249249249249,-126.21171171171171,-210.00225225225225,-123.87537537537537
105,-11.883774145616643,-8.617280832095098,-9.550988112927193,-350.58172362555723,-254.21768202080239,-281.74294205052007
120,-16.699108734402852,-0.25025846702317295,-11.923092691622102,-492.6247771836007,-7.360071301247772,-351.7344028520499
135,-11.471975662133143,7.393221188260558,-7.273643521832499,-338.4151753758053,218.08947745168217,-214.58267716535434
150,-5.199742300439974,5.873859208045254,-3.3414833438089255,-153.40477686989314,173.29415461973602,-98.5556253928347
165,-3.6012991833704526,2.451432813659985,-3.2917371937639195,-106.23682256867112,72.32516703786192,-97.11655530809206
180,-5.554531902206321,1.867567084078712,-5.297525342874179,-163.84555754323196,55.10077519379845,-156.2856290995826
195,-7.334015957446809,8.076190159574468,-5.966668882978722,-216.35638297872342,238.2440159574468,-176.01130319148936
210,-0.6503685329553509,13.722388377037563,0.8356626506024095,-19.190644932671862,404.8362863217576,24.640680368532955
225,5.8018712273641855,8.334869215291752,6.000234741784037,171.1703554661301,245.85647216633132,177.00402414486922
240,4.794945770065077,2.8189370932754882,4.714345625451917,141.44034707158352,83.14316702819957,139.04266088214027
255,2.8969375,3.8067083333333334,3.236722222222222,85.4375,112.3125,95.50347222222223
270,4.337509433962264,7.9480905660377354,4.471939622641509,127.9411320754717,234.4732075471698,131.9464150943396
285,12.262317251461987,9.524188596491229,10.257397660818715,361.71783625730995,280.94663742690057,302.57236842105266
300,17.672964899178492,0.5075952203136669,13.28501120238984,521.3764002987303,14.989544436146378,391.92531740104556
315,12.268534542916958,-8.013154221912071,7.877431960921145,361.89881367759943,-236.38590369853455,232.39916259595256
330,5.871338526912181,-6.5090014164305945,3.380375354107649,173.21742209631728,-192.02974504249292,99.72521246458923
345,3.662600394996708,-3.2273996050032916,2.826096115865701,108.06912442396313,-95.21658986175115,83.35154707044109
360,5.2342063492063495,-2.4219603174603175,4.25247619047619,154.4142857142857,-71.45,125.41825396825396
