angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,3.289448160535117,-1.9054431438127089,4.506931438127089,97.04598662207358,-56.22324414715719,132.96989966555185
15,5.271138147566719,-5.5221114599686025,6.1738854003139725,155.50235478806908,-162.88854003139718,182.10753532182105
30,2.0635413744740534,-11.726753155680226,2.2900701262272087,60.874474053295934,-345.9614305750351,67.51472650771389
45,-3.9380805176132276,-9.868554996405464,-4.537778576563623,-116.1782890007189,-291.1351545650611,-133.88497483824585
60,-4.805090196078432,-3.8754509803921566,-5.615427450980392,-141.73960784313726,-114.33803921568628,-165.6486274509804
75,-2.9016474820143885,-2.617323741007194,-3.8346330935251793,-85.57697841726619,-77.21654676258993,-113.12805755395684
90,-2.978213213213213,-5.651644144144145,-3.7696246246246243,-87.84834834834835,-166.737987987988,-111.21621621621621
105,-7.603618210862621,-9.063738019169328,-8.385199680511182,-224.31629392971246,-267.3961661341853,-247.36900958466452
120,-13.517021414665804,-3.4595846852693057,-14.034977287475666,-398.7384815055159,-102.04931862426996,-414.0279039584685
135,-11.296989319092122,6.575720961281709,-12.072029372496663,-333.260347129506,193.9879839786382,-356.128170894526
150,-5.01695751138088,7.166396054628224,-5.932845220030348,-148.00455235204856,211.41881638846738,-175.0204855842185
165,-2.536833333333333,3.451902777777778,-3.7662361111111107,-74.84791666666666,101.82222222222222,-111.12152777777777
180,-3.5886038514442924,1.5295048143053642,-5.072111416781292,-105.86313617606602,45.10522696011004,-149.64855570839066
195,-5.657814327485379,5.110292397660818,-7.413062865497076,-166.921783625731,150.77119883040936,-218.6966374269006
210,-2.095832710978342,12.515847647498134,-3.1302613890963413,-61.81553398058252,369.2300224047797,-92.35997012696042
225,4.5962389640965275,10.445632725132432,4.789682165979989,135.6015303119482,308.15715126545024,141.2772218952325
240,4.814455521472393,3.403550613496932,5.72691717791411,142.0176380368098,100.3957055214724,168.97469325153375
255,2.7206258596973867,2.7648968363136177,3.77366574965612,80.25240715268225,81.5515818431912,111.32668500687758
270,2.8800643086816726,6.25163344051447,3.88404501607717,84.94726688102894,184.4,114.60257234726689
285,8.09838138925295,9.713938401048493,9.003722149410223,238.8905635648755,286.58256880733944,265.61009174311926
300,14.168241451500348,4.400279134682484,15.65420795533845,417.94626657362176,129.80669923237963,461.81507327285414
315,11.681460272011453,-6.55765211166786,12.630694345025056,344.62920544022904,-193.45669291338584,372.6342161775233
330,5.7795507947477525,-8.15798203178991,6.624879060124396,170.51693158258465,-240.64754664823772,195.44505874222529
345,2.5985898353614885,-4.355619183965641,3.666907659269864,76.66428060128848,-128.47387258410882,108.22261989978526
360,3.341000807102502,-2.1063518966908803,4.3170540758676355,98.55690072639226,-62.12671509281679,127.32364810330913
