angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,4.762964899178492,-2.2465347274085135,3.6911949215832713,140.49962658700522,-66.2554144884242,108.9462285287528
15,6.801608832807571,-5.841451104100946,5.448951104100947,200.63564668769715,-172.33596214511041,160.7358044164038
30,2.3827089552238805,-12.906746268656716,1.648641791044776,70.28507462686566,-380.7343283582089,48.646268656716416
45,-5.078527564549894,-10.600488485694347,-3.916071179344033,-149.83461270062804,-312.71877180739705,-115.52756454989533
60,-6.16860398860399,-3.794330484330484,-4.968789173789174,-181.9594017094017,-111.95156695156695,-146.57122507122506
75,-3.814665676077266,-2.7351857355126303,-3.186047548291233,-112.5482912332838,-80.68424962852897,-93.99182763744427
90,-4.175070422535212,-6.036002682763247,-2.7959825620389,-123.14822266934944,-178.06639839034204,-82.48625083836352
105,-10.538710826210826,-9.211303418803418,-6.656923076923077,-310.9059829059829,-271.74074074074076,-196.4059829059829
120,-17.270428863172224,-3.178706603131382,-10.677406398910824,-509.4846834581348,-93.78761061946902,-314.999319264806
135,-13.917493188010903,6.816212534059946,-8.627799727520435,-410.5708446866485,201.07152588555857,-254.5449591280654
150,-7.065242718446602,7.362666168782674,-4.327893950709484,-208.43913368185213,217.19268110530246,-127.63106796116504
165,-3.726586741889985,3.361346967559943,-2.96231311706629,-109.95133991537377,99.15937940761636,-87.36177715091678
180,-5.007113543091656,1.4864705882352942,-4.527127222982216,-147.71545827633378,43.83720930232558,-133.5766073871409
195,-7.142524407252441,5.737405857740586,-6.168849372384938,-210.72175732217573,169.27266387726638,-181.97907949790795
210,-2.585563063063063,13.63111111111111,-2.6031006006006003,-76.27702702702703,402.13213213213214,-76.79429429429429
225,5.731705035971223,10.69789928057554,4.220705035971224,169.10791366906474,315.5820143884892,124.49640287769785
240,6.1429706513958475,3.936671438797423,4.679255547602004,181.20472440944883,116.13457408733,138.02720114531138
255,3.7093089430894306,3.058970189701897,3.07660569105691,109.44715447154472,90.2540650406504,90.77777777777777
270,4.262125,6.638909722222222,2.899694444444444,125.7125,195.8513888888889,85.50416666666666
285,11.213971471471472,9.970683183183182,6.957267267267269,330.8235735735736,294.1381381381381,205.21546546546546
300,17.562093023255812,3.7842065663474687,10.633932968536252,518.0718194254446,111.64911080711354,313.7140902872777
315,14.942202052091552,-6.311215469613259,8.913022888713495,440.7861089187056,-186.15864246250987,262.9060773480663
330,7.514128268991282,-7.784327521793275,4.354987546699875,221.65379825653798,-229.65691158156912,128.46513075965132
345,3.9680525606469,-4.543874663072775,2.72866576819407,117.05862533692722,-134.05390835579516,80.48247978436657
360,4.6324295302013425,-2.461476510067114,3.603879194630873,136.66107382550337,-72.62080536912751,106.33355704697986
