angle_deg,Bx[mT],By[mT],Bz[mT],Bx[LSB],By[LSB],Bz[LSB]
0,4.338015734265734,-2.066713286713287,4.535463286713286,127.95541958041959,-60.96590909090909,133.8006993006993
15,6.143121345029241,-6.649663742690058,5.713640350877193,181.21052631578948,-196.16739766081872,168.58698830409358
30,1.4807551164431898,-12.592173606210304,0.46577275935074103,43.67395906845448,-371.47635850388144,13.76499647141849
45,-4.821256106071179,-8.972330774598744,-5.568471737613399,-142.21702721563153,-264.6727145847872,-164.23586880669924
60,-5.01722977809592,-3.3574946313528993,-5.382183249821046,-148.01717967072298,-99.04294917680744,-158.77165354330708
75,-3.0048363636363633,-2.862429090909091,-3.575527272727273,-88.64945454545455,-84.424,-105.4770909090909
90,-3.5543729040912138,-6.334232059020792,-3.9538497652582163,-104.84507042253522,-186.83970489604292,-116.64319248826291
105,-9.853057607090104,-8.959675036927623,-9.245243722304282,-290.68463810930575,-264.294682422452,-272.7437223042836
120,-15.398831168831167,-1.8055714285714286,-13.449012987012988,-454.26233766233764,-53.28506493506494,-396.762987012987
135,-11.500975975975976,7.183543543543543,-9.600075075075075,-339.26801801801804,211.92567567567568,-283.21546546546546
150,-5.108803724928366,6.666167621776506,-4.4946919770773635,-150.73209169054442,196.65329512893982,-132.63968481375358
165,-3.0415661861074708,2.8888269986893835,-3.4882961992136305,-89.73853211009174,85.20117955439056,-102.88859764089122
180,-4.477163850110213,1.6048934606906688,-5.232336517266715,-132.08596620132255,47.34459955914769,-154.37325495958854
195,-6.601746031746031,6.695325396825397,-6.916325396825396,-194.7595238095238,197.51111111111112,-204.00238095238095
210,-1.5349663928304702,13.428588498879762,-1.2352203136669155,-45.27408513816281,396.1366691560866,-36.43689320388349
225,5.288528528528528,9.289264264264263,5.667575075075076,156.01501501501502,274.0412912912913,167.2177177177177
240,4.830130047912389,2.9459958932238197,5.291622176591376,142.47912388774813,86.89390828199863,156.113620807666
255,2.7823392612859097,3.225595075239398,3.472530779753762,82.06839945280437,95.1655266757866,102.42544459644323
270,3.565484496124031,7.1140051679586565,4.16561369509044,105.1795865633075,209.8798449612403,122.8656330749354
285,10.12937338501292,9.825574935400518,9.882054263565893,298.8068475452196,289.8708010335917,291.51937984496124
300,16.273855421686747,2.1099357429718877,14.823734939759035,480.0586345381526,62.23373493975904,437.30763052208835
315,12.230765230312036,-7.763907875185736,10.477332838038633,360.7860326894502,-229.0512630014859,309.12332838038634
330,5.763652777777778,-7.210763888888889,4.653458333333333,170.04930555555555,-212.72708333333333,137.2798611111111
345,3.126346280447663,-3.7744700460829486,3.207294272547728,92.24292297564187,-111.36537195523371,94.63331138907176
360,4.308242163491088,-2.2303073140749845,4.358260602335587,127.0737553779963,-65.77504609711124,128.56545789797173
